surface,station,airfoil,point,x_m,y_m,z_m
wing,4,sd7037,2,0.639268,0.999303,0.037336
wing,4,sd7037,3,0.637083,0.99929,0.037694
wing,4,sd7037,4,0.634137,0.99927,0.038218
wing,4,sd7037,5,0.63051,0.999245,0.038895
wing,4,sd7037,6,0.626275,0.999215,0.039693
wing,4,sd7037,7,0.621502,0.999183,0.040567
wing,4,sd7037,8,0.616247,0.999149,0.041478
wing,4,sd7037,9,0.610564,0.999116,0.042383
wing,4,sd7037,10,0.604495,0.999083,0.043257
wing,4,sd7037,11,0.598096,0.999052,0.044093
wing,4,sd7037,12,0.59144,0.999023,0.044878
wing,4,sd7037,13,0.584604,0.998996,0.045596
wing,4,sd7037,14,0.577658,0.998973,0.046229
wing,4,sd7037,15,0.570677,0.998953,0.04676
wing,4,sd7037,16,0.563733,0.998938,0.047171
wing,4,sd7037,17,0.556898,0.998928,0.047449
wing,4,sd7037,18,0.550234,0.998923,0.047581
wing,4,sd7037,19,0.543804,0.998923,0.047558
wing,4,sd7037,20,0.537669,0.99893,0.047376
wing,4,sd7037,21,0.53188,0.998943,0.047034
wing,4,sd7037,22,0.526488,0.998962,0.046532
wing,4,sd7037,23,0.521538,0.998986,0.045877
wing,4,sd7037,24,0.517071,0.999015,0.045078
wing,4,sd7037,25,0.513118,0.99905,0.044147
wing,4,sd7037,26,0.509703,0.999089,0.043099
wing,4,sd7037,27,0.506842,0.999131,0.04196
wing,4,sd7037,28,0.504546,0.999176,0.040766
wing,4,sd7037,29,0.502824,0.99922,0.03956
wing,4,sd7037,30,0.501685,0.999264,0.038393
wing,4,sd7037,31,0.501129,0.999303,0.037343
wing,4,sd7037,32,0.501277,0.999333,0.036534
wing,4,sd7037,33,0.502228,0.999356,0.03591
wing,4,sd7037,34,0.503952,0.999376,0.035368
wing,4,sd7037,35,0.506419,0.999392,0.034928
wing,4,sd7037,36,0.509602,0.999404,0.034598
wing,4,sd7037,37,0.513479,0.999413,0.034379
wing,4,sd7037,38,0.518015,0.999417,0.034263
