surface,station,airfoil,point,x_m,y_m,z_m
wing,4,sd7037,0,0.665,0.997267,0.073882
wing,4,sd7037,1,0.66455,0.997263,0.073939
wing,4,sd7037,2,0.663224,0.997249,0.074128
wing,4,sd7037,3,0.661081,0.997223,0.074479
wing,4,sd7037,4,0.65819,0.997185,0.074992
wing,4,sd7037,5,0.654632,0.997136,0.075655
wing,4,sd7037,6,0.650478,0.997078,0.076436
wing,4,sd7037,7,0.645795,0.997014,0.077292
wing,4,sd7037,8,0.64064,0.996948,0.078183
wing,4,sd7037,9,0.635065,0.996883,0.079069
wing,4,sd7037,10,0.62911,0.996819,0.079925
wing,4,sd7037,11,0.622833,0.996759,0.080744
wing,4,sd7037,12,0.616303,0.996702,0.081513
wing,4,sd7037,13,0.609596,0.99665,0.082215
wing,4,sd7037,14,0.602782,0.996604,0.082836
wing,4,sd7037,15,0.595934,0.996565,0.083355
wing,4,sd7037,16,0.589121,0.996535,0.083757
wing,4,sd7037,17,0.582415,0.996515,0.08403
wing,4,sd7037,18,0.575877,0.996506,0.084158
wing,4,sd7037,19,0.56957,0.996507,0.084137
wing,4,sd7037,20,0.563551,0.99652,0.083959
wing,4,sd7037,21,0.557871,0.996545,0.083623
wing,4,sd7037,22,0.552582,0.996582,0.083131
wing,4,sd7037,23,0.547726,0.996629,0.08249
wing,4,sd7037,24,0.543344,0.996687,0.081708
wing,4,sd7037,25,0.539466,0.996755,0.080796
wing,4,sd7037,26,0.536115,0.996831,0.079771
wing,4,sd7037,27,0.533308,0.996913,0.078656
wing,4,sd7037,28,0.531056,0.997,0.077486
wing,4,sd7037,29,0.529367,0.997087,0.076306
wing,4,sd7037,30,0.528249,0.997172,0.075164
wing,4,sd7037,31,0.527704,0.997248,0.074135
wing,4,sd7037,32,0.527849,0.997307,0.073344
wing,4,sd7037,33,0.528782,0.997352,0.072733
wing,4,sd7037,34,0.530474,0.997392,0.072201
wing,4,sd7037,35,0.532893,0.997423,0.071771
wing,4,sd7037,36,0.536016,0.997447,0.071448
wing,4,sd7037,37,0.53982,0.997463,0.071233
wing,4,sd7037,38,0.544269,0.997472,0.071119
wing,4,sd7037,39,0.549324,0.997473,0.071099
wing,4,sd7037,40,0.554934,0.997469,0.071161
wing,4,sd7037,41,0.561039,0.997459,0.071292
wing,4,sd7037,42,0.567575,0.997445,0.07148
wing,4,sd7037,43,0.574463,0.997428,0.07171
wing,4,sd7037,44,0.581627,0.997409,0.07197
wing,4,sd7037,45,0.588981,0.997388,0.072252
wing,4,sd7037,46,0.596439,0.997366,0.072545
wing,4,sd7037,47,0.603916,0.997344,0.072841
wing,4,sd7037,48,0.611325,0.997323,0.07313
wing,4,sd7037,49,0.61858,0.997302,0.073404
wing,4,sd7037,50,0.625595,0.997284,0.073652
wing,4,sd7037,51,0.632286,0.997268,0.073863
wing,4,sd7037,52,0.638568,0.997256,0.074024
wing,4,sd7037,53,0.644352,0.997249,0.074131
wing,4,sd7037,54,0.649559,0.997245,0.074183
wing,4,sd7037,55,0.654111,0.997245,0.07418
wing,4,sd7037,56,0.65794,0.997248,0.074135
wing,4,sd7037,57,0.660986,0.997254,0.074063
wing,4,sd7037,58,0.663201,0.99726,0.073979
wing,4,sd7037,59,0.664548,0.997265,0.073911
wing,4,sd7037,60,0.665,0.997267,0.073882
vtail,0,naca0009,0,1.638671,-6.9e-05,5.3e-05
vtail,0,naca0009,1,1.638666,-6.9e-05,5.3e-05
vtail,0,naca0009,2,1.638648,-7.1e-05,5.4e-05
